# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 111, mean track length: 2
59 10.076156279741809 3.629534154974368 33.016002780016017 149 197 235 0.25032056277602022 274 350 285 333
58 12.569287608887121 1.0369751739128223 33.897032334247648 195 198 203 0.020884502462462904 274 342 285 228
57 13.492757303331606 -0.60803901363565649 33.014175098307106 157 158 156 0.17632801088280436 274 338 285 221
56 13.456224959452067 -1.0978254030660219 33.024011613122845 27 32 36 0.16142359060607969 274 337 285 220
55 9.9936696769369391 -4.2585802557601209 32.899457198093067 28 30 27 0.2494697416726957 274 335 285 17
54 9.9936696769369391 -4.2585802557601209 32.899457198093067 28 30 27 0.2494697416726957 274 334 285 16
53 10.921687830613227 6.8473325437811017 29.928404363256739 58 63 69 0.37466214270409659 274 311 285 290
52 15.19556769136989 7.0515808723616171 33.654782138406453 71 71 71 2.6472115221498136 274 307 285 351
51 8.9626636999522766 6.5403305185387914 31.152224312902597 184 111 17 0.1023834247304129 274 304 285 165
50 7.5884903328048896 5.0999108571196281 33.278818443745571 188 186 199 0.27753557226004355 274 285 285 134
49 5.6759343515602954 4.9868182425176411 33.472576142091597 37 44 70 0.1617247178674564 274 278 285 344
48 4.2130063865485408 4.8370290249354877 32.284763966839542 23 30 40 0.077595159027077407 274 276 285 270
47 11.897328049453495 4.5140194874257125 33.461492716829582 48 3 0 0.069275618651618548 274 275 285 254
46 3.9105282678372557 4.640681068653814 31.230703172343944 29 36 45 0.26092128345098781 274 274 285 271
45 4.5276696023423115 4.7929962689449201 33.547729677158948 16 20 31 0.39523506937256025 274 271 285 261
44 11.740754763179984 4.2807672760181914 33.381106475951341 40 11 1 0.30864482867914933 274 270 285 250
43 12.617346792169753 4.1200655620687652 33.3082624705958 245 246 237 0.22229787403534912 274 265 285 89
42 5.1431056184389643 4.5895642020013172 33.94403309322329 18 18 28 0.13197910013722214 274 263 285 258
41 4.5157130502132858 4.6191938163182815 33.883969246700836 18 19 24 0.10812788074760099 274 262 285 260
40 4.5157130502132858 4.6191938163182815 33.883969246700836 18 19 24 0.10812788074760099 274 261 285 259
39 10.187697283699187 3.9822407173652552 32.952642613342725 24 28 30 0.41801806034396083 274 251 285 246
38 12.50814704224514 3.8072389141816512 33.190249226041736 249 252 253 0.12387953032006672 274 246 285 80
37 16.553741598883057 3.5156662117632957 32.531528833546581 98 23 0 0.47442384793470815 274 242 285 72
36 12.615361699305584 3.7381447968829917 33.152832555965325 6 7 2 0.54546122983679801 274 241 285 239
35 12.073607823587858 3.7063139896293631 33.36591011313584 13 3 2 0.16213860869748645 274 239 285 332
34 10.376862836547637 3.6171409995754917 32.867343964565748 155 211 252 0.55672858824506033 274 236 285 335
33 12.18048485072983 3.5306941833674403 33.213163869557036 219 213 217 0.015389146899212724 274 235 285 235
32 9.8028810346013184 2.2300852470355661 33.618764002807524 34 26 15 0.19973805765096542 274 227 285 231
31 13.698135088004696 -0.56388141450535523 33.123410982464833 42 9 0 0.2320650422344262 274 214 285 34
30 -4.0296204079566316 -5.0392407511483386 35.582859921728442 207 169 148 0.18454928532096995 274 209 285 216
13 12.468254519238455 3.5639389842817604 33.091601801028681 218 222 223 0.22851674482588219 274 78 285 73
12 6.5631116012985311 3.0773249937490235 35.446102370401817 47 38 29 0.13383553778495308 274 57 285 69
11 9.6665955433138784 1.7561489032658324 33.617504323724738 28 29 24 0.45074679609260571 274 51 285 230
10 4.7656697800404189 1.8474315405610915 36.169205357936029 80 69 50 0.23085884888037636 274 50 285 59
9 12.670379364756215 1.0968665647765712 33.88718848382188 9 11 14 0.16806176016586388 274 41 285 45
8 12.676498480475907 0.90730596430933763 33.887690825932111 4 6 13 0.072585392071126437 274 39 285 42
7 12.676498480475907 0.90730596430933763 33.887690825932111 4 6 13 0.072585392071126437 274 38 285 41
6 13.207157882643173 -0.51732141145116151 33.122078415927056 221 220 223 0.11912868790526177 274 24 285 223
5 13.725584748613748 -0.66185713808849156 33.004625227467791 170 151 100 0.47816333634241293 274 22 285 33
4 13.238188553556636 -0.94871071944854546 33.119305614166016 211 206 207 0.1722666942994745 274 21 285 31
3 13.579280479866219 -1.1523556006710498 32.974082560021422 209 212 219 0.09539803730571754 274 18 285 26
2 13.344061917384584 -1.1658276437121085 33.091499507401572 208 209 214 0.17657458694894435 274 17 285 27
1 -0.44569344937954108 -2.1803974963402606 23.431876109206911 5 12 20 0.11932208965049537 274 10 285 22
14 12.468254519238455 3.5639389842817604 33.091601801028681 218 222 223 0.22851674482588219 274 79 285 74
15 12.159222947446423 3.7834562390010675 33.240672129990699 222 220 223 0.0052807438066213522 274 85 285 241
16 12.159222947446423 3.7834562390010675 33.240672129990699 222 220 223 0.0052807438066213522 274 86 285 242
17 6.0348933225762291 4.5615447231781019 33.896651874016072 229 228 226 0.015691717383669285 274 105 285 112
18 5.8649450590314274 4.91057157562215 33.590099091443491 238 249 254 0.16854646647280042 274 115 285 127
19 5.26690753074325 5.052065439323691 33.35354631058869 233 245 254 0.036395247043548781 274 117 285 268
20 5.8273375236419476 5.3842610531962487 33.040748962250433 214 226 242 0.08954190984237817 274 123 285 149
21 10.162375600696071 5.2261803637842572 32.958717126132029 63 20 1 0.035413912816332938 274 125 285 277
22 11.060681124525996 5.3653286188294445 32.614671630406086 253 236 214 0.18129988288449106 274 130 285 151
83 9.0387818878885717 4.9684402287935407 33.656448896096251 195 124 41 0.10575986967939094 274 448 285 485
24 15.86854375409348 5.4169206257741926 32.839239817093251 98 95 88 0.46979135173702224 274 132 285 145
84 8.8851528401699476 6.5929501035762739 31.408390432299779 196 121 26 0.03835013602393092 274 455 285 458
25 2.4353219462153226 5.6426674287048213 26.667865073116744 29 13 0 0.47235785020199528 274 136 285 352
85 7.5588335718655957 9.1971127781891369 30.994066286496427 122 136 147 0.36297858616995465 274 460 285 491
26 15.831028205950876 6.0980892393968187 32.9496147345765 131 67 9 0.63311793825624296 274 142 285 158
86 13.087963709909948 0.13894152270452251 33.188889589542747 44 43 49 1.0354345098446098 274 465 285 438
27 10.836486215935594 6.3025796274438264 30.627202603210964 71 78 86 0.039107872390110321 274 149 285 163
87 9.6697241849035613 2.0839472816006515 33.622183929739336 9 7 3 0.19329411422282664 274 466 285 472
28 9.102277200033523 6.6660016474197503 31.021753100548313 190 119 36 0.22087876479393623 274 151 285 170
88 6.7395489083210895 2.7842036722174779 35.755344890514699 250 227 186 0.18089550202155971 274 469 285 476
29 -3.880346250528953 -5.15790505023375 35.607073236551464 190 150 134 0.048768085919592558 274 206 285 215
